Date,Facebook Ad Campaign,Facebook Ad Views,Facebook Ad Clicks,Facebook Ad Conversions,Facebook Cost Per Ad,Facebook Click-Through Rate (Clicks / View),Facebook Conversion Rate (Conversions / Clicks),Facebook Cost per Click (Ad Cost / Clicks),AdWords Ad Campaign,"AdWords Ad Views
",AdWords Ad Clicks,AdWords Ad Conversions,"Cost per AdWords Ad
",AdWords Click-Through Rate (Clicks / View),"AdWords Conversion Rate (Conversions / Click)
",AdWords Cost per Click (Ad Cost / Clicks)
15/02/2022,FB_Feb2022,2287,69,33,$66,3.02%,47.83%,$0.96,AW_Feb2022,4923,31,16,$120,0.63%,51.61%,$3.87
03/03/2022,FB_Mar2022,1198,71,30,$158,5.93%,42.25%,$2.23,AW_Mar2022,4220,31,18,$111,0.73%,58.06%,$3.58
28/04/2022,FB_Apr2022,2865,47,28,$96,1.64%,59.57%,$2.04,AW_Apr2022,4168,31,18,$186,0.74%,58.06%,$6.00
16/06/2022,FB_Jun2022,2622,24,11,$247,0.92%,45.83%,$10.29,AW_Jun2022,4894,31,17,$97,0.63%,54.84%,$3.13
24/07/2022,FB_Jul2022,1656,23,5,$130,1.39%,21.74%,$5.65,AW_Jul2022,5589,31,14,$86,0.55%,45.16%,$2.77
07/10/2022,FB_Oct2022,1609,29,19,$246,1.80%,65.52%,$8.48,AW_Oct2022,5401,31,15,$90,0.57%,48.39%,$2.90
23/02/2023,FB_Feb2023,2742,58,32,$181,2.12%,55.17%,$3.12,AW_Feb2023,4275,31,15,$51,0.73%,48.39%,$1.65
18/03/2023,FB_Mar2023,2638,52,30,$225,1.97%,57.69%,$4.33,AW_Mar2023,5750,31,4,$53,0.54%,12.90%,$1.71
09/06/2023,FB_Jun2023,3090,73,35,$235,2.36%,47.95%,$3.22,AW_Jun2023,4620,31,16,$191,0.67%,51.61%,$6.16
13/07/2023,FB_Jul2023,1821,42,32,$180,2.31%,76.19%,$4.29,AW_Jul2023,5570,31,4,$147,0.56%,12.90%,$4.74
16/11/2023,FB_Nov2023,2075,43,32,$104,2.07%,74.42%,$2.42,AW_Nov2023,4530,31,14,$56,0.68%,45.16%,$1.81
10/01/2024,FB_Jan2024,1764,15,7,$214,0.85%,46.67%,$14.27,AW_Jan2024,3977,31,18,$151,0.78%,58.06%,$4.87
27/04/2024,FB_Apr2024,1229,30,18,$229,2.44%,60.00%,$7.63,AW_Apr2024,4552,31,4,$192,0.68%,12.90%,$6.19
